username,content
KontanNews,"Meksi Harga BBM Naik, BTN Masih Yakin Bisa Penuhi Target Penyaluran Kredit https://t.co/8971JcOVtr #Kreditbank"
FPD_DPR,Demokrat Sentil Adian PDIP soal Harga BBM: Cara Berpikirnya Tidak NKRI https://t.co/czeVlPRW2C
kompascom,"Hasil survei menunjukkan harga BBM menyumbangkan inflasi Juli 2022 terbesar, yakni 0,66 persen secara bulanan (month to month/mtm). https://t.co/uJ0kNnaDOR"
infoka_id,"Demo Kenaikan Harga BBM, Mahasiswa Kembali Kepung Gedung DPRD Indramayu
https://t.co/PUbtugRPmg"
buahsatan,Orang2 lagi protes kenaikan harga bbm lo malah nyaru nyari sensasi woi Bjorka! https://t.co/sVB1HvaqQY
WarasWareg,"@faizalassegaf melempem lg.
Harga BBM dinaikkan, BUMN minta subsudi negara. Subsidi rkyt dinaikkan.
Gaji pegawai BUMN mau dinaikkan, 
Gaji UMK dilarang naik. https://t.co/a3Oqudyqih"
Andiriego_,"Ketua MPR RI @puanmaharani_ri  meminta agar pencairan bansos segera bisa di berikan agar masyarakat kecil bisa secepatnya terbantu, mencegah penurunan daya beli di masyarakat efek dari penyesuaian harga BBM subsidi.

#SubsidiBagiKaumRentan
BansosHarus TepatSasaran https://t.co/5dO17W8tyI"
chinta_chintata,"Di tengah peningkatan harga bahan bakar minyak (BBM), pemerintah sudah menyediakan tambahan bantuan sosial sebesar Rp 24,17 triliun. 

Harapannya, ini bisa menjaga daya beli masyarakat di tengah peningkatan harga.

#SubsidiBagiKaumRentan
BansosHarus TepatSasaran https://t.co/bdxFmqjZUH"
Revenge00810455,"Puan berharap agar bantuan langsung tunai (BLT) yang diberikan pemerintah imbas dari kenaikan harga BBM dapat tepat sasaran. Ia juga meminta kementerian terkait untuk mampu mengawasi dengan ketat dalam penyaluran bantuan tersebut.

#SubsidiBagiKaumRentan
BansosHarus TepatSasaran https://t.co/UZ283TtTMa"
AlshaibaShihab,"#SubsidiBagiKaumRentan
BansosHarus TepatSasaran

Ketua DPR Puan maharani menilai subsidi hrs cepat diberikan agar tdk terjadi perlambatan konsumsi masyarakat. Tp pengalihan subsidi hrs tepat sasaran krn kenaikan harga BBM berpotensi menaikkan harga komoditas brg lain. https://t.co/wW3qFmpbHn"
BEM_Udayana,"[Seruan Mimbar Bebas]

Menilik kembali keadaan Indonesia belakangan ini, terdapat sekali permasalahan yang sangat meresahkan masyarakat baik secara langsung maupun tidak langsung. Isu yang berdampak langsung seperti kenaikan harga BBM yang membuat banyak masyarakat tercekik https://t.co/34D7u2mpaB"
Ranisor,"Pengalihan subsidi harus tepat  sasaran. Mengingat kenaikan harga BBM berdampak langsupada kenaikan transportasi dan  berpotensi  menaikkan harga komoditas barang lain. Bansos untuk rakyat kecil harus  segera dicairkan. 
#SubsidiBagiKaumRentan
BansosHarus TepatSasaran https://t.co/q9IRf7FRoE"
Thavit_Amoura,"TERIMA ASPIRASI PENOLAKAN KENAIKAN HARGA BBM DARI BURUH, DPRD DIY LANGSUNG SURATI PRESIDEN. 

#BangkitAtauTertindas 
#BangkitAtauTertindas 

https://t.co/kZiAxMo1we"
Youkari04,"Dulu ada yang bilang bahwa kenaikan harga bbm adalah pil pahit bagi rakyat Indonesia,
Sekarang malah malah pasang badan mendukung kenaikan harga bbm.
Vangke!!

#BangkitAtauTertindas 
#BangkitAtauTertindas"
RNugra2,"Waduh Mbieb, rada berabe nih, masala waktunya demo pasti lama, demo turunkan harga BBM (poin 1) sudah seminggu blom klar..gk tau kapan klarnya. Ditambah turunkan harga2 yang lain (poin 2), bisa sampai akhir tahun nih demo, tapi asyik juga taun baruhan dirayain pake demo, ajjiiib. https://t.co/HzC1oVFRaf"
bbuingKstuff,"READY TSHIRT XOXO GRADE B harga spesial 50rb, desain sama seperti xoxo grade A.. hanya kualitas beda (sablon dan bahan) Minat? Sms ke CP"
Bunga_Que,"Anggota DPR bernyanyi gembira didalam gedung parlemen, sementara diluaran mahasiswa sedang berdemonstrasi menolak kebijakan pemerintah menaikkan harga bbm.

Masih pantaskah mereka kita panggil wakil rakyat?

#BangkitAtauTertindas
#BangkitAtauTertindas"
